AAC Egypt	HEAR
KGS Greece	LGKO
KHG People's Repub	ZWSH
KHH Taiwan	RCKH
KHI Pakistan	OPKC
KHN People's Repub	ZSCN
KHR Mongolia	ZMHH
KHV Russian Federa	UHHH
KID Sweden	ESMK
KIF Unknown	NONE
KIJ Japan	RJSN
KIM South Africa	FAKM
KIN Jamaica	MKJP
KIR Ireland	EIKY
KIT Greece	LGKC
KIV Moldova	LUKK
KIX Japan	RJBB
KJA Russian Federa	UNKL
KKC Thailand	VTUK
KKE New Zealand	NZKK
KKH Alaska	PADY
KKJ Japan	RJFR
KKN Norway	ENKR
KLH India	VAKP
KLL Unknown	NONE
KLO Philippines	RPVK
KLR Sweden	ESMQ
KLU Austria	LOWK
KLV Czech Republic	LKKV
KLW Alaska	PAKW
KMA Papua New Guin	AYKM
KMG People's Repub	ZPPP
KMI Japan	RJFM
KMJ Japan	RJFT
KMO Alaska	PAMB
KMQ Japan	RJNK
KNH Taiwan	RCBS
KNS Australia	YKII
KNW Alaska	PANW
KNX Australia	YPKU
KOA Hawaii	PHKO
KOG Laos	VLKG
KOI United Kingdom	EGPA
KOJ Japan	RJFK
KOK Finland	EFKK
KOW People's Repub	ZSGZ
KPN Alaska	PAKI
KPO South Korea	RKTH
KPS Australia	YKMP
KPV Alaska	PAPE
KQA Unknown	NONE
KRF Sweden	ESNK
KRK Poland	EPKK
KRL People's Repub	ZWKL
KRN Sweden	ESNQ
KRP Denmark	EKKA
KRR Russian Federa	URKK
KRS Unknown	NONE
KRT Sudan	HSSS
KSA Federated Stat	PTSA
KSC Slovakia	LZKZ
KSD Sweden	ESOK
KSF Germany	EDVK
KSH Iran	OICC
KSJ Greece	LGKS
KSO Greece	LGKA
KSQ Uzbekistan	UTSK
KSU Norway	ENKB
KSY Turkey	LTCF
KTA Australia	YPKA
KTM Nepal	VNKT
KTN Alaska	PAKT
KTP Jamaica	MKTP
KTR Australia	YPTN
KTT Finland	EFKT
KTW Poland	EPKT
KUA Malaysia	WMKD
KUD Malaysia	WBKT
KUF Russian Federa	UWWW
KUH Japan	RJCK
KUL Malaysia	WMKK
KUN Lithuania	EYKA
KUO Finland	EFKU
KUS Greenland	BGKK
KUV South Korea	RKJK
KVA Greece	LGKV
KVC Alaska	PAVC
KVL Alaska	PAVL
KWA Marshall Islan	PKWA
KWE People's Repub	ZUGY
KWI Kuwait	OKBK
KWJ South Korea	RKJJ
KWL People's Repub	ZGKL
KWN Alaska	PAQH
KYA Turkey	LTAN
KZI Greece	LGKZ
KZN Russian Federa	UWKD
KZS Greece	LGKJ
LAD Angola	FNLU
LAE Papua New Guin	AYNZ
LAF Unknown	NONE
LAI France	LFRO
LAN Unknown	NONE
LAO Philippines	RPLI
LAP Mexico	MMLP
LAQ Libya	HLLQ
LAR Unknown	NONE
LAS Unknown	NONE
LAW Unknown	NONE
LAX Unknown	NONE
LBA United Kingdom	EGNM
LBB Unknown	NONE
LBE Unknown	NONE
LBF Unknown	NONE
LBG Unknown	NONE
LBL Unknown	NONE
LBP Unknown	NONE
LBS Fiji	NFNL
LBU Malaysia	WBKL
LBV Gabon	FOOL
LCA Cyprus	LCLK
LCE Honduras	MHLC
LCG Spain	LECO
LCH Unknown	NONE
LCJ Poland	EPLL
LCY United Kingdom	EGLC
LDB Brazil	SBLO
LDE France	LFBT
LDH Australia	YLHI
LDU Malaysia	WBKD
LDY United Kingdom	EGAE
LEA Australia	YPLM
LEB Unknown	NONE
LEC Brazil	SNDM
LED Russian Federa	ULLI
LEH France	LFOH
LEI Spain	LEAM
LEJ Germany	EDDP
LEN Spain	LELN
LET Colombia	SKLT
LEX Unknown	NONE
LFT Unknown	NONE
LFW Togo	DXXX
LGA Unknown	NONE
LGB Unknown	NONE
LGG Belgium	EBLG
LGI Bahamas	MYLD
LGK Malaysia	WMKL
LGL Malaysia	WBGF
LGP Philippines	RPLP
LGW United Kingdom	EGKK
LHE Pakistan	OPLA
LHR United Kingdom	EGLL
LHW People's Repub	ZLAN
LIF New Caledonia	NWWL
LIG France	LFBL
LIH Hawaii	PHLI
LIL France	LFQQ
LIM Peru	SPIM
LIN Italy	LIML
LIR Costa Rica	MRLB
LIS Portugal	LPPT
LIT Unknown	NONE
LJG People's Repub	ZPLJ
LJU Slovenia	LJLJ
LKE Unknown	NONE
LKH Malaysia	WBGL
LKL Norway	ENNA
LKN Norway	ENLK
LKO India	VILK
LLA Sweden	ESPA
LLI Unknown	NONE
LLW Malawi	FWKI
LLY Unknown	NONE
LMM Mexico	MMLM
LMN Malaysia	WBGJ
LMP Italy	LICD
LMQ Libya	HLMB
LMT Unknown	NONE
LNJ Unknown	NONE
LNK Unknown	NONE
LNS Unknown	NONE
LNV Unknown	NONE
LNY Hawaii	PHNY
LNZ Austria	LOWL
LOS Nigeria	DNMM
LOV Mexico	MMMV
LPA Canary Islands	GCLP
LPB Bolivia	SLLP
LPI Sweden	ESSL
LPL United Kingdom	EGGP
LPP Finland	EFLP
LPQ Laos	VLLB
LPS Unknown	NONE
LPT Thailand	VTCL
LRD Unknown	NONE
LRE Australia	YLRE
LRH France	LFBH
LRM Dominican Repu	MDLR
LRS Unknown	NONE
LRT France	LFRH
LRU Unknown	NONE
LSC Chile	SCSE
LSE Unknown	NONE
LSI United Kingdom	EGPB
LSP Venezuela	SVJC
LSQ Chile	SCAG
LSS Guadeloupe	TFFS
LST Australia	YMLT
LSY Australia	YLIS
LTD Libya	HLTD
LTI Mongolia	ZMAT
LTN United Kingdom	EGGW
LTO Australia	YLTN
LUA Nepal	VNLK
LUD Namibia	FYLZ
LUG Switzerland	LSZA
LUK Unknown	NONE
LUM People's Repub	ZPLX
LUN Zambia	FLLS
LUP Hawaii	PHLU
LUQ Argentina	SAOU
LUX Luxembourg	ELLX
LVI Zambia	FLLI
LVT Laos	VLAO
LWB Unknown	NONE
LWK United Kingdom	EGET
LWO Ukraine	UKLL
LWS Unknown	NONE
LWT Unknown	NONE
LWY Malaysia	WBGW
LXA People's Repub	ZULS
LXG Laos	VLLN
LXR Egypt	HELX
LYA People's Repub	ZHLY
LYB Cayman Islands	MWCL
LYC Sweden	ESNL
LYG People's Repub	ZSLG
LYH Unknown	NONE
LYP Pakistan	OPFA
LYR Norway	ENSB
LYS France	LFLL
LZC Mexico	MMLC
LZH People's Repub	ZGZH
LZO Unknown	NONE
MAA India	VOMM
MAB Brazil	SBMA
MAD Spain	LEMD
MAF Unknown	NONE
MAG Papua New Guin	AYMD
MAH Spain	LEMH
MAJ Marshall Islan	PKMJ
MAM Mexico	MMMA
MAN United Kingdom	EGCC
MAO Brazil	SBEG
MAR Venezuela	SVMC
MAY Bahamas	MYAB
MAZ Puerto Rico	TJMZ
MBA Kenya	HKMO
MBD South Africa	FAMM
MBE Japan	RJEB
MBJ Jamaica	MKJS
MBL Unknown	NONE
MBS Unknown	NONE
MBX Slovenia	LJMB
MCE Unknown	NONE
MCG Alaska	PAMC
MCI Unknown	NONE
MCK Unknown	NONE
MCM Monaco	LNMC
MCN Unknown	NONE
MCO Unknown	NONE
MCP Brazil	SBMQ
MCQ Unknown	NONE
MCT Oman	OOMS
MCW Unknown	NONE
MCY Australia	YBMC
MCZ Brazil	SBMO
MDC Indonesia	WAMM
MDE Colombia	SKRG
MDG People's Repub	ZYMD
MDH Unknown	NONE
MDL Myanmar (Burma	VYMD
MDQ Argentina	SAZM
MDT Unknown	NONE
MDW Unknown	NONE
MDZ Argentina	SAME
MED Saudi Arabia	OEMA
MEH Norway	ENMH
MEI Unknown	NONE
MEL Australia	YMML
MEM Unknown	NONE
MER Unknown	NONE
MES Indonesia	WIMM
MEU Brazil	SBMD
MEX Mexico	MMMX
MEY Nepal	VNMG
MFE Unknown	NONE
MFM Macau, China	VMMC
MFN New Zealand	NZMF
MFR Unknown	NONE
MGA Nicaragua	MNMG
MGB Australia	YMTG
MGF Brazil	SBMG
MGH South Africa	FAMG
MGL Germany	EDLN
MGM Unknown	NONE
MGQ Somalia	HCMM
MGW Unknown	NONE
MHD Iran	OIMM
MHG Germany	EDFM
MHH Bahamas	MYAM
MHK Unknown	NONE
MHQ Finland	EFMA
MHT Unknown	NONE
MHU Australia	YHOT
MIA Unknown	NONE
MID Mexico	MMMD
MIE Unknown	NONE
MIG Unknown	NONE
MIM Australia	YMER
MIR Tunisia	DTMB
MJD Pakistan	OPMJ
MJF Norway	ENMS
MJT Greece	LGMT
MJV Spain	LELC
MKC Unknown	NONE
MKE Unknown	NONE
MKG Unknown	NONE
MKK Hawaii	PHMK
MKL Unknown	NONE
MKM Malaysia	WBGK
MKS Unknown	NONE
MKW Indonesia	WASR
MKY Australia	YBMK
MLA Malta	LMML
MLB Unknown	NONE
MLE Maldives	VRMM
MLG Indonesia	WIAS
MLH France	LFSB
MLI Unknown	NONE
MLM Mexico	MMMM
MLN Ceuta and Meli	GEML
MLO Greece	LGML
MLS Unknown	NONE
MLT Unknown	NONE
MLU Unknown	NONE
MLW Liberia	GLMR
MLX Turkey	LTAT
MMB Japan	RJCM
MME United Kingdom	EGNV
MMH Unknown	NONE
MMJ Japan	RJAF
MMK Russian Federa	ULMM
MMO Cape Verde	GVMA
MMU Unknown	NONE
MMX Sweden	ESMS
MMY Japan	ROMY
MNF Fiji	NFMA
MNI Montserrat	TRPM
MNL Philippines	RPLL
MNM Unknown	NONE
MOB Unknown	NONE
MOC Brazil	SBMK
MOD Unknown	NONE
MOL Norway	ENML
MOT Unknown	NONE
MOW Russian Federa	UUWV
MOZ French Polynes	NTTM
MPA Namibia	FYMP
MPB Unknown	NONE
MPK South Korea	RKJM
MPL France	LFMT
MPM Mozambique	FQMA
MPN United Kingdom	EGYP
MQL Australia	YMIA
MQM Turkey	LTCR
MQN Norway	ENRA
MQP South Africa	FAKN
MQS Saint Vincent 	TVSM
MQT Unknown	NONE
MQX Ethiopia	HAMK
MRA Unknown	NONE
MRD Venezuela	SVMD
MRK Unknown	NONE
MRS France	LFML
MRU Mauritius	FIMP
MRV Russian Federa	URMM
MRY Unknown	NONE
MRZ Australia	YMOR
MSE United Kingdom	EGMH
MSJ Japan	RJSM
MSL Unknown	NONE
MSN Unknown	NONE
MSO Unknown	NONE
MSP Unknown	NONE
MSQ Belarus	UMMS
MSR Turkey	LTCK
MSS Unknown	NONE
MST Netherlands	EHBK
MSU Lesotho	FXMM
MSY Unknown	NONE
MTF Ethiopia	HAMT
MTH Unknown	NONE
MTJ Unknown	NONE
MTS Swaziland	FDMS
MTT Mexico	MMMT
MTY Mexico	MMMY
MUB Botswana	FBMN
MUC Germany	EDDM
MUE Hawaii	PHMU
MUN Venezuela	SVMT
MUR Malaysia	WBGM
MUX Pakistan	OPMT
MVD Uruguay	SUMU
MVN Unknown	NONE
MVY Unknown	NONE
MWA Unknown	NONE
MWH Unknown	NONE
MWZ Tanzania	HTMW
MXL Mexico	MMML
MXP Italy	LIMC
MXS Samoa	NSMA
MXV Mongolia	ZMMN
MXW Mongolia	ZMMG
MXZ Unknown	NONE
MYA Australia	YMRY
MYE Japan	RJTQ
MYG Bahamas	MYMM
MYJ Japan	RJOM
MYR Unknown	NONE
MYU Alaska	PAMY
MYY Malaysia	WBGR
MZG Taiwan	RCQC
MZL Colombia	SKMZ
MZT Mexico	MMMZ
MZV Malaysia	WBMU
NAA Australia	YNBR
NAG India	VANP
NAH Indonesia	WAMH
NAK Thailand	VTUQ
NAN Fiji	NFFN
NAP Italy	LIRN
NAS Bahamas	MYNN
NAT Brazil	SBNT
NAY People's Repub	ZBNY
NBO Kenya	HKJK
NCA Turks and Caic	MBNC
NCE France	LFMN
NCL United Kingdom	EGNT
NCU Uzbekistan	UTNN
NCY France	LFLP
NDG People's Repub	ZYQQ
NDJ Chad	FTTJ
NDR Morocco	GMMW
NEC Argentina	SAZO
NER Unknown	NONE
NEU Laos	VLSN
NEV Saint Kitts an	TKPN
NFO Tonga	NFTO
NGB People's Repub	ZSNB
NGO Japan	RJGG
NGS Japan	RJFU
NHA Vietnam	VVNT
NIM Niger	DRRN
NIX Mali	GANR
NJC Russian Federa	USNN
NKC Mauritania	GQNN
NKG People's Repub	ZSNJ
NLA Zambia	FLND
NLD Mexico	MMNL
NLG Alaska	PAOU
NLK Australia	YSNF
NLP South Africa	FANS
NMA Uzbekistan	UTFN
NME Alaska	PAGT
NNG People's Repub	ZGNN
NNM Russian Federa	ULAM
NNY People's Repub	ZHNY
NOC Ireland	EIKN
NOH Unknown	NONE
NOU New Caledonia	NWWW
NPE New Zealand	NZNR
NPL New Zealand	NZNP
NQN Argentina	SAZN
NQY United Kingdom	EGHQ
NRA Australia	YNAR
NRK Sweden	ESSP
NRN Germany	EDLV
NRT Japan	RJAA
NSB Unknown	NONE
NSI Cameroo	FKYS
NSK Russian Federa	UOOO
NSN New Zealand	NZNS
NST Thailand	VTSF
NTE France	LFRS
NTG Unknown	NONE
NTL Australia	YWLM
NTQ Japan	RJNW
NTT Tonga	NFTP
NTY South Africa	FAPN
NUE Germany	EDDN
NUX Russian Federa	USMU
NVT Brazil	SBNF
NWA Comoros	FMCI
NWI United Kingdom	EGSH
NYU Myanmar (Burma	VYBG
OAG Australia	YORG
OAJ Unknown	NONE
OAK Unknown	NONE
OAX Mexico	MMOX
OBO Japan	RJCB
OCJ Jamaica	MKBS
ODE Denmark	EKOD
ODN Malaysia	WBGI
ODS Ukraine	UKOO
ODW Unknown	NONE
ODY Laos	VLOS
OER Sweden	ESNO
OFK Unknown	NONE
OGG Hawaii	PHOG
OGS Unknown	NONE
OHD FYROM	LWOH
OIM Japan	RJTO
OIT Japan	RJFO
OKA Japan	ROAH
OKC Unknown	NONE
OKD Japan	RJCO
OKJ Japan	RJOB
OLB Italy	LIEO
OLF Unknown	NONE
OLM Unknown	NONE
OLP Unknown	NONE
OMA Unknown	NONE
OME Alaska	PAOM
OMR Romania	LROD
OMS Russian Federa	UNOO
ONG Unknown	NONE
ONJ Japan	RJSR
ONT Unknown	NONE
OOK Alaska	PAOO
OOL Australia	YBCG
OOM Australia	YCOM
OPF Unknown	NONE
OPO Portugal	LPPR
ORB Sweden	ESOE
ORD Unknown	NONE
ORF Unknown	NONE
ORH Unknown	NONE
ORK Ireland	EICK
ORL Unknown	NONE
ORN Algeria	DAOO
ORY France	LFPO
OSA Unknown	NONE
OSD Sweden	ESNZ
OSH Unknown	NONE
OSL Norway	ENGM
OSR Czech Republic	LKMT
OSZ Unknown	NONE
OTH Unknown	NONE
OTM Unknown	NONE
OTP Romania	LROP
OTZ Alaska	PAOT
OUA Burkina Faso	DFFD
OUD Morocco	GMFO
OUI Unknown	NONE
OUL Finland	EFOU
OVB Russian Federa	UNNT
OVD Spain	LEAS
OWB Unknown	NONE
OWD Unknown	NONE
OXB Guinea	GGOV
OXR Unknown	NONE
OZH Ukraine	UKDE
OZZ Morocco	GMMZ
PAC Panama	MPMG
PAD Germany	EDLP
PAH Unknown	NONE
PAM Unknown	NONE
PAO Unknown	NONE
PAP Haiti	MTPP
PAR Unknown	NONE
PAS Greece	LGPA
PAT India	VEPT
PAZ Mexico	MMPA
PBC Mexico	MMPB
PBD India	VAPR
PBI Unknown	NONE
PBM Suriname	SMJP
PBO Australia	YPBO
PCA Alaska	PAOC
PCL Peru	SPCL
PCT Unknown	NONE
PDG Indonesia	WIPT
PDL Portugal	LPPD
PDP Uruguay	SUPE
PDS Mexico	MMPG
PDT Unknown	NONE
PDX Unknown	NONE
PEE Russian Federa	USPP
PEG Italy	LIRZ
PEI Colombia	SKPE
PEK People's Repub	ZBAA
PEM Peru	SPTU
PEN Malaysia	WMKP
PER Australia	YPPH
PES Russian Federa	ULPB
PEW Pakistan	OPPS
PFB Brazil	SBPF
PFN Unknown	NONE
PFO Cyprus	LCPH
PGA Unknown	NONE
PGF France	LFMP
PGV Unknown	NONE
PGX France	LFBX
PHC Nigeria	DNPO
PHE Australia	YPPD
PHF Unknown	NONE
PHL Unknown	NONE
PHO Alaska	PAPO
PHS Thailand	VTPP
PHW South Africa	FAPH
PHX Unknown	NONE
PIA Unknown	NONE
PIB Unknown	NONE
PID Bahamas	MYPI
PIE Unknown	NONE
PIH Unknown	NONE
PIK United Kingdom	EGPK
PIP Alaska	PAPN
PIR Unknown	NONE
PIS France	LFBI
PIT Unknown	NONE
PIU Peru	SPUR
PIW Canada	CZMN
PJG Pakistan	OPPG
PKB Unknown	NONE
PKC Russian Federa	UHPP
PKE Australia	YPKS
PKR Nepal	VNPK
PKU Indonesia	WIBB
PKZ Laos	VLPS
PLB Unknown	NONE
PLH United Kingdom	EGHD
PLM Indonesia	WIPP
PLN Unknown	NONE
PLO Australia	YPLC
PLQ Lithuania	EYPA
PLS Turks and Caic	MBPV
PLU Brazil	SBBH
PLW Indonesia	WAML
PLZ South Africa	FAPE
PMC Chile	SCTE
PMD Unknown	NONE
PMF Italy	LIMP
PMI Spain	LEPA
PML Alaska	PAAL
PMO Italy	LICJ
PMR New Zealand	NZPM
PMV Venezuela	SVMG
PMW Brazil	SBPJ
PNA Spain	LEPP
PNC Unknown	NONE
PNH Cambodia	VDPP
PNI Federated Stat	PTPN
PNK Indonesia	WIOO
PNL Italy	LICG
PNQ India	VAPO
PNR Republic of th	FCPP
PNS Unknown	NONE
PNZ Brazil	SBPL
POA Brazil	SBPA
POG Gabon	FOOG
POM Papua New Guin	AYPY
POP Dominican Repu	MDPP
POR Finland	EFPO
POS Trinidad and T	TTPP
POU Unknown	NONE
POZ Poland	EPPO
PPG American Samoa	NSTU
PPP Australia	YBPN
PPS Philippines	RPVP
PPT French Polynes	NTAA
PQC Vietnam	VVPQ
PQI Unknown	NONE
PQQ Australia	YPMQ
PRC Unknown	NONE
PRG Czech Republic	LKPR
PRI Seychelles	FSPP
PRJ Unknown	NONE
PRN Unknown	NONE
PSA Italy	LIRP
PSC Unknown	NONE
PSE Puerto Rico	TJPS
PSG Alaska	PAPG
PSI Pakistan	OPPI
PSM Unknown	NONE
PSO Colombia	SKPS
PSP Unknown	NONE
PSR Italy	LIBP
PSS Argentina	SARP
PSZ Bolivia	SLPS
PTF Fiji	NFFO
PTG South Africa	FAPP
PTH Alaska	PAPH
PTJ Australia	YPOD
PTP Guadeloupe	TFFR
PTU Alaska	PAPM
PTY Panama	MPTO
PUB Unknown	NONE
PUF France	LFBP
PUJ Dominican Repu	MDPC
PUQ Chile	SCCI
PUS South Korea	RKPK
PUW Unknown	NONE
PUY Croatia	LDPL
PUZ Nicaragua	MNPC
PVC Unknown	NONE
PVD Unknown	NONE
PVG People's Repub	ZSPD
PVH Brazil	SBPV
PVK Greece	LGPZ
PVR Mexico	MMPR
PVU Unknown	NONE
PWK Unknown	NONE
PWM Unknown	NONE
PWT Unknown	NONE
PXM Mexico	MMPS
PXO Portugal	LPPS
PXU Vietnam	VVPK
PZB South Africa	FAPM
PZE United Kingdom	EGHK
PZH Pakistan	OPZB
PZO Unknown	NONE
QBF Unknown	NONE
QBL Unknown	NONE
QDU Unknown	NONE
QEC Unknown	NONE
QEJ Unknown	NONE
QGG Unknown	NONE
QGH Unknown	NONE
QIE France	LFMI
QKB Unknown	NONE
QKL Unknown	NONE
QKO Unknown	NONE
QMQ Unknown	NONE
QRO Mexico	MMQT
QSY Unknown	NONE
QUB Unknown	NONE
QXB France	LFMM
QZL Unknown	NONE
QZT Unknown	NONE
RAB Papua New Guin	AYTK
RAE Saudi Arabia	OERR
RAH Saudi Arabia	OERF
RAI Cape Verde	GVNP
RAJ India	VARK
RAK Morocco	GMMX
RAO Brazil	SBRP
RAP Unknown	NONE
RAR Turks and Caic	NCRG
RAS Iran	OIGG
RBA Morocco	GMME
RBR Brazil	SBRB
RCB South Africa	FARB
RCE Unknown	NONE
RDD Unknown	NONE
RDG Unknown	NONE
RDM Unknown	NONE
RDU Unknown	NONE
RDZ France	LFCR
REC Brazil	SBRF
REG Italy	LICR
REK Unknown	NONE
REL Argentina	SAVT
REP Cambodia	VDSR
RES Argentina	SARE
REU Spain	LERS
REX Mexico	MMRX
RFD Unknown	NONE
RFP French Polynes	NTTR
RGA Argentina	SAWE
RGL Argentina	SAWG
RGN Myanmar (Burma	VYYY
RHI Unknown	NONE
RHO Greece	LGRP
RIC Unknown	NONE
RIO Unknown	NONE
RIS Japan	RJER
RIW Unknown	NONE
RIX Latvia	EVRA
RJL Spain	LELO
RKD Unknown	NONE
RKS Unknown	NONE
RKT United Arab Em	OMRK
RKV Unknown	NONE
RLG Germany	ETNL
RMA Australia	YROM
RMF Egypt	HEMA
RMI Italy	LIPR
RNB Sweden	ESDF
RNN Denmark	EKRN
RNO Unknown	NONE
RNS France	LFRN
ROA Unknown	NONE
ROB Liberia	GLRB
ROC Unknown	NONE
ROK Australia	YBRK
ROM Unknown	NONE
ROP Northern Maria	PGRO
ROR Palau	PTRO
ROS Argentina	SAAR
ROT New Zealand	NZRO
ROV Russian Federa	URRR
ROW Unknown	NONE
RPN Israel	LLIB
RPR India	VARP
RRG Mauritius	FIMR
RRO Unknown	NONE
RSA Argentina	SAZR
RSD Bahamas	MYER
RST Unknown	NONE
RSU South Korea	RKJY
RSW Unknown	NONE
RTB Honduras	MHRO
RTM Netherlands	EHRD
RUH Saudi Arabia	OERK
RUI Unknown	NONE
RUN Reunion	FMEE
RUT Unknown	NONE
RVN Finland	EFRO
RWI Unknown	NONE
RXS Philippines	RPVR
RYK Pakistan	OPRK
RZE Poland	EPRZ
SAB Netherlands An	TNCS
SAF Unknown	NONE
SAH Yemen	OYSN
SAL El Salvador	MSLP
SAN Unknown	NONE
SAP Honduras	MHLM
SAQ Bahamas	MYAN
SAT Unknown	NONE
SAV Unknown	NONE
SAY Italy	LIQS
SBA Unknown	NONE
SBH Saint Barthele	TFFJ
SBN Unknown	NONE
SBP Unknown	NONE
SBW Malaysia	WBGS
SBY Unknown	NONE
SBZ Romania	LRSB
SCC Alaska	PASC
SCE Unknown	NONE
SCK Unknown	NONE
SCL Chile	SCEL
SCM Alaska	PACM
SCN Germany	EDDR
SCQ Spain	LEST
SCU Cuba	MUCU
SCX Unknown	NONE
SDE Argentina	SANE
SDF Unknown	NONE
SDJ Japan	RJSS
SDK Malaysia	WBKS
SDL Sweden	ESNN
SDN Norway	ENSD
SDP Alaska	PASD
SDQ Dominican Repu	MDSD
SDR Spain	LEXJ
SDU Brazil	SBRJ
SDV Israel	LLSD
SDX Unknown	NONE
SDY Unknown	NONE
SEA Unknown	NONE
SEB Libya	HLLS
SEL Unknown	NONE
SEZ Seychelles	FSIA
SFA Tunisia	DTTX
SFB Unknown	NONE
SFG Saint Martin	TFFG
SFJ Greenland	BGSF
SFL Cape Verde	GVSF
SFN Argentina	SAAV
SFO Unknown	NONE
SFQ Turkey	LTCH
SFT Sweden	ESNS
SGC Russian Federa	USRR
SGD Denmark	EKSB
SGF Unknown	NONE
SGN Vietnam	VVTS
SGO Australia	YSGE
SGU Unknown	NONE
SGY Alaska	PAGY
SHA People's Repub	ZSSS
SHB Japan	RJCN
SHC Unknown	NONE
SHD Unknown	NONE
SHE People's Repub	ZYTX
SHJ United Arab Em	OMSJ
SHM Japan	RJBD
SHO South Korea	RKND
SHP People's Repub	ZBSH
SHR Unknown	NONE
SHV Unknown	NONE
SHW Unknown	NONE
SID Cape Verde	GVAC
SIG Puerto Rico	TJIG
SIN Singapore	WSSS
SIP Ukraine	UKFF
SIR Switzerland	LSGS
SIT Alaska	PASI
SJC Unknown	NONE
SJD Mexico	MMSD
SJI Philippines	RPUH
SJJ Bosnia and Her	LQSA
SJK Brazil	SBSJ
SJO Costa Rica	MROC
SJP Brazil	SBSR
SJT Unknown	NONE
SJU Puerto Rico	TJSJ
SJW People's Repub	ZBSJ
SKB Saint Kitts an	TKPK
SKD Uzbekistan	UTSS
SKE Norway	ENSN
SKG Greece	LGTS
SKN Norway	ENSK
SKP FYROM	LWSK
SKS Denmark	EKSP
SKU Greece	LGSY
SKZ Pakistan	OPSK
SLA Argentina	SASA
SLC Unknown	NONE
SLD Slovakia	LZSL
SLK Unknown	NONE
SLL Oman	OOSA
SLM Spain	LESA
SLN Unknown	NONE
SLP Mexico	MMSP
SLU Saint Lucia	TLPC
SLW Mexico	MMIO
SLZ Brazil	SBSL
SMF Unknown	NONE
SMI Greece	LGSM
SML Bahamas	MYLS
SMM Malaysia	WBKA
SMR Colombia	SKSM
SMS Madagascar	FMMS
SMX Unknown	NONE
SNA Unknown	NONE
SNB Australia	YSNB
SNE Cape Verde	GVSN
SNN Ireland	EINN
SNO Thailand	VTUI
SNP Alaska	PASN
SNU Cuba	MUSC
SOF Bulgaria	LBSF
SOG Norway	ENSG
SOM Venezuela	SVST
SOP Unknown	NONE
SOU United Kingdom	EGHI
SOW Unknown	NONE
SOY United Kingdom	EGER
SPB Unknown	NONE
SPC Canary Islands	GCLA
SPD Unknown	NONE
SPI Unknown	NONE
SPN Northern Maria	PGSN
SPR Unknown	NONE
SPS Unknown	NONE
SPU Croatia	LDSP
SPW Unknown	NONE
SQH Vietnam	VVNS
SQL Unknown	NONE
SQO Sweden	ESUD
SRE Bolivia	SLSU
SRG Indonesia	WIIS
SRQ Unknown	NONE
SRX Unknown	NONE
SSA Brazil	SBSV
SSB Netherlands	EHSB
SSG Equatorial Gui	FGSL
SSH Egypt	HESH
SSJ Norway	ENST
SSQ Unknown	NONE
STC Unknown	NONE
STD Venezuela	SVSO
STI Dominican Repu	MDST
STL Unknown	NONE
STM Brazil	SBWX
STN United Kingdom	EGSS
STP Unknown	NONE
STR Germany	EDDS
STS Unknown	NONE
STT U.S. Virgin Is	TIST
STX U.S. Virgin Is	TISX
SUB Indonesia	WARR
SUE Unknown	NONE
SUF Italy	LICA
SUJ Romania	LRSM
SUL Pakistan	OPSU
SUN Unknown	NONE
SUV Fiji	NFNA
SUX Unknown	NONE
SVC Unknown	NONE
SVD Saint Vincent 	TVSV
SVG Norway	ENZV
SVJ Norway	ENSH
SVL Finland	EFSA
SVO Russian Federa	UUEE
SVQ Spain	LEZL
SVU Fiji	NFNS
SVX Russian Federa	USSS
SVZ Venezuela	SVSA
SWA People's Repub	ZGOW
SWF Unknown	NONE
SWP Namibia	FYSM
SWQ Indonesia	WRRS
SXB France	LFST
SXF Germany	EDDB
SXL Ireland	EISG
SXM Netherlands An	TNCM
SXR India	VISR
SYD Australia	YSSY
SYM People's Repub	ZPSM
SYO Japan	RJSY
SYR Unknown	NONE
SYX People's Repub	ZJSY
SYY United Kingdom	EGPO
SYZ Iran	OISS
SZB Malaysia	WMSA
SZF Turkey	LTFH
SZG Austria	LOWS
SZT Mexico	MMSC
SZX People's Repub	ZGSZ
SZZ Poland	EPSC
TAB Trinidad and T	TTCP
TAC Philippines	RPVA
TAE South Korea	RKTN
TAG Philippines	RPVT
TAI Yemen	OYTZ
TAK Japan	RJOT
TAM Mexico	MMTM
TAO People's Repub	ZSQD
TAP Mexico	MMTP
TAS Uzbekistan	UTTT
TAT Slovakia	LZTT
TAV Unknown	NONE
TBB Vietnam	VVTH
TBN Unknown	NONE
TBP Peru	SPME
TBS Georgia	UGTB
TBT Brazil	SBTT
TBU Tonga	NFTF
TBZ Iran	OITT
TCB Bahamas	MYAT
TCG Peru	SPCH
TCI Unknown	NONE
TCL Unknown	NONE
TCQ Peru	SPTN
TDD Bolivia	SLTR
TEB Unknown	NONE
TED Denmark	EKTS
TEN People's Repub	ZUTR
TER Portugal	LPLA
TEX Unknown	NONE
TEZ India	VETZ
TFF Brazil	SBTF
TFN Canary Islands	GCXO
TFS Canary Islands	GCTS
TGD Montenegro	LYPG
TGG Malaysia	WMKN
TGM Romania	LRTM
TGU Honduras	MHTG
TGZ Mexico	MMTG
THE Brazil	SBTE
THF Germany	EDDI
THK Laos	VLTK
THN Sweden	ESGT
THR Iran	OIII
THU Greenland	BGTL
TIA Albania	LATI
